,Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TransformedPrice
0,1,60,4,8450,1,2,1,3,0,0,1,23,7,6,1,3,7,5,2003,2003,0,5,12,12,0,196.0,3,2,0,1,3,3,6,706,5,0,150,856,3,4,1,4,856,854,0,1710,1,0,2,1,3,1,3,8,5,0,2,0,2003.0,0,2,548,3,3,2,0,61,0,0,0,0,3,1,0,0,2,2008,2,0,208500,12.247694320220994
1,2,20,4,9600,1,2,1,3,0,2,1,4,3,6,1,6,6,8,1976,1976,0,5,6,6,3,0.0,0,2,2,1,3,1,1,978,5,0,284,1262,3,4,1,4,1262,0,0,1262,0,1,2,0,3,1,0,6,5,1,3,0,1976.0,0,2,460,3,3,2,298,0,0,0,0,0,3,1,0,0,5,2007,2,0,181500,12.109010932687042
2,3,60,4,11250,1,2,3,3,0,0,1,23,7,6,1,3,7,5,2001,2002,0,5,12,12,0,162.0,3,2,0,1,3,0,6,486,5,0,434,920,3,4,1,4,920,866,0,1786,1,0,2,1,3,1,3,6,5,1,3,0,2001.0,0,2,608,3,3,2,0,42,0,0,0,0,3,1,0,0,9,2008,2,0,223500,12.31716669303576
3,4,70,4,9550,1,2,3,3,0,3,1,7,7,6,1,3,7,5,1915,1970,0,5,5,11,3,0.0,0,2,3,3,1,3,1,216,5,0,540,756,3,1,1,4,961,756,0,1717,1,0,1,0,3,1,3,7,5,1,1,6,1998.0,1,3,642,3,3,2,0,35,272,0,0,0,3,1,0,0,2,2006,2,3,140000,11.84939770159144
4,5,60,4,14260,1,2,3,3,0,2,1,16,7,6,1,3,8,5,2000,2000,0,5,12,12,0,350.0,3,2,0,1,3,4,6,655,5,0,490,1145,3,4,1,4,1145,1053,0,2198,1,0,2,1,4,1,3,9,5,1,3,0,2000.0,0,3,836,3,3,2,192,84,0,0,0,0,3,1,0,0,12,2008,2,0,250000,12.429216196844383
5,6,50,4,14115,1,2,3,3,0,0,1,9,7,6,1,4,5,5,1993,1995,0,5,12,12,3,0.0,0,2,1,1,3,3,6,732,5,0,64,796,3,4,1,4,796,566,0,1362,1,0,1,1,1,1,0,5,5,0,2,0,1993.0,1,2,480,3,3,2,40,30,0,320,0,0,3,3,2,700,10,2009,2,0,143000,11.870599909242044
6,7,20,4,10084,1,2,1,3,0,0,1,12,7,6,1,6,8,5,2004,2005,0,5,12,12,2,186.0,3,2,0,4,3,4,6,1369,5,0,317,1686,3,4,1,4,1694,0,0,1694,1,0,2,0,3,1,3,7,5,1,1,0,2004.0,0,2,636,3,3,2,255,57,0,0,0,0,3,1,0,0,8,2007,2,0,307000,12.634603026569334
7,8,60,4,10382,1,2,3,3,0,3,1,18,8,6,1,3,7,6,1973,1973,0,5,2,2,2,240.0,0,2,2,1,3,0,1,859,0,32,216,1107,3,4,1,4,1107,983,0,2090,1,0,2,1,3,1,0,7,5,2,3,0,1973.0,0,2,484,3,3,2,235,204,228,0,0,0,3,1,2,350,11,2009,2,0,200000,12.206072645530174
8,9,50,1,6120,1,2,1,3,0,0,1,17,2,6,1,4,7,5,1931,1950,0,5,8,11,3,0.0,0,2,3,3,3,3,5,0,5,0,952,952,3,1,1,0,1022,752,0,1774,0,0,2,0,2,2,0,8,1,2,3,6,1931.0,1,2,468,0,3,2,90,0,205,0,0,0,3,1,0,0,4,2008,2,3,129900,11.77452020265869
9,10,190,4,7420,1,2,1,3,0,3,1,8,2,3,0,5,5,6,1939,1950,0,5,6,6,3,0.0,0,2,3,3,3,3,6,851,5,0,140,991,3,4,1,4,1077,0,0,1077,1,0,1,0,2,2,0,5,5,2,3,0,1939.0,0,1,205,1,3,2,0,4,0,0,0,0,3,1,0,0,1,2008,2,0,118000,11.678439903447801
10,11,20,4,11200,1,2,1,3,0,0,1,24,7,6,1,6,5,5,1965,1965,2,5,2,2,3,0.0,0,2,2,3,3,3,3,906,5,0,134,1040,3,4,1,4,1040,0,0,1040,1,0,1,0,3,1,0,5,5,0,2,6,1965.0,1,1,384,3,3,2,0,0,0,0,0,0,3,1,0,0,2,2008,2,0,129500,11.771436160121729
11,12,60,4,11924,1,2,3,3,0,0,1,21,7,6,1,3,9,5,2005,2006,2,5,11,11,2,286.0,2,2,0,4,3,3,6,998,5,0,177,1175,3,4,1,4,1182,1142,0,2324,1,0,3,0,4,1,2,11,5,2,1,4,2005.0,3,3,736,3,3,2,147,21,0,0,0,0,3,1,0,0,7,2006,5,2,345000,12.751299696013497
12,13,20,4,12968,1,2,2,3,0,0,1,24,7,6,1,6,5,6,1962,1962,2,5,2,15,3,0.0,0,2,2,3,3,3,1,737,5,0,175,912,3,2,1,4,912,0,0,912,1,0,1,0,2,1,0,4,5,0,2,6,1962.0,1,1,352,3,3,2,140,0,0,0,176,0,3,1,0,0,9,2008,2,0,144000,11.877568578558138
13,14,20,4,10652,1,2,3,3,0,0,1,23,7,6,1,6,7,5,2006,2007,0,5,12,12,2,306.0,3,2,0,1,3,4,5,0,5,0,1494,1494,3,4,1,4,1494,0,0,1494,0,0,2,0,3,1,3,7,5,1,1,0,2006.0,0,3,840,3,3,2,160,33,0,0,0,0,3,1,0,0,8,2007,5,2,279500,12.540757571577291
14,15,20,4,10920,1,2,3,3,0,3,1,0,7,6,1,6,6,5,1960,1960,2,5,6,6,0,212.0,0,2,2,3,3,3,0,733,5,0,520,1253,3,2,1,4,1253,0,0,1253,1,0,1,1,2,1,0,5,5,1,0,0,1960.0,0,1,352,3,3,2,0,213,176,0,0,0,3,0,0,0,5,2008,2,0,157000,11.964001084330445
15,16,45,1,6120,1,2,1,3,0,3,1,8,7,6,1,5,7,8,1929,2001,0,5,5,5,3,0.0,0,2,3,3,3,3,5,0,5,0,832,832,3,4,1,3,854,0,0,854,0,0,1,0,2,1,0,5,5,0,2,6,1991.0,1,2,576,3,3,2,48,112,0,0,0,0,3,4,0,0,7,2007,2,0,132000,11.790557201568507
16,17,20,4,11241,1,2,3,3,0,4,1,0,7,6,1,6,6,7,1970,1970,0,5,5,5,0,180.0,0,2,2,3,3,3,1,578,5,0,426,1004,3,4,1,4,1004,0,0,1004,1,0,1,0,2,1,0,5,5,1,3,0,1970.0,3,2,480,3,3,2,0,0,0,0,0,0,3,1,2,700,3,2010,2,0,149000,11.911701584927597
17,18,90,4,10791,1,2,1,3,0,0,1,24,7,6,3,6,4,5,1967,1967,0,5,6,6,3,0.0,0,2,4,2,2,2,2,0,2,0,0,0,3,2,1,4,1296,0,0,1296,0,0,2,0,2,2,0,6,5,0,2,3,1967.0,1,2,516,3,3,2,0,0,0,0,0,0,3,1,2,500,10,2006,2,0,90000,11.407564949312402
18,19,20,4,13695,1,2,1,3,0,0,1,2,0,6,1,6,5,5,2004,2004,0,5,12,12,3,0.0,0,2,0,3,3,3,6,646,5,0,468,1114,3,4,1,4,1114,0,0,1114,1,0,1,1,3,1,3,6,5,0,2,6,2004.0,1,2,576,3,3,2,0,102,0,0,0,0,3,1,0,0,6,2008,2,0,159000,11.976659481202368
19,20,20,4,7560,1,2,1,3,0,0,1,0,7,6,1,6,5,6,1958,1965,2,5,8,15,3,0.0,0,2,2,3,3,3,4,504,5,0,525,1029,3,2,1,4,1339,0,0,1339,0,0,1,0,3,1,0,6,1,0,2,0,1958.0,1,1,294,3,3,2,0,0,0,0,0,0,3,3,0,0,5,2009,7,3,139000,11.842229212112828
20,21,60,4,14215,1,2,3,3,0,3,1,21,7,6,1,3,8,5,2005,2006,0,5,12,12,0,380.0,3,2,0,4,3,4,5,0,5,0,1158,1158,3,4,1,4,1158,1218,0,2376,0,0,3,1,4,1,3,9,5,1,1,4,2005.0,0,3,853,3,3,2,240,154,0,0,0,0,3,1,0,0,11,2006,5,2,325300,12.692503112461443
21,22,45,1,7449,1,0,1,2,0,0,1,20,7,6,1,5,7,7,1930,1950,0,5,5,5,3,0.0,0,2,0,3,3,3,5,0,5,0,637,637,3,4,1,0,1108,0,0,1108,0,0,1,0,3,1,3,6,5,1,1,0,1930.0,1,1,280,3,3,0,0,0,205,0,0,0,3,4,0,0,6,2007,2,0,139400,11.845102777308561
22,23,20,4,9742,1,2,1,3,0,0,1,23,7,6,1,6,8,5,2002,2002,2,5,12,12,0,281.0,3,2,0,1,3,3,5,0,5,0,1777,1777,3,4,1,4,1795,0,0,1795,0,0,2,0,3,1,3,7,5,1,1,0,2002.0,0,2,534,3,3,2,171,159,0,0,0,0,3,1,0,0,9,2008,2,0,230000,12.345834587905333
